Year,Week,DateId,Team,Opp,Position,Player,PassAtt,PassCom,PassYds,PassTD,PassINT,Pass300,RushAtt,RushYds,RushTD,Rush100,RecTarg,RecCatches,RecYds,RecTD,Rec100,FumL,OffFumTD,TwoPT,RetYds,RetTD,FGMade0_19,FGMade20_29,FGMade30_39,FGMade40_49,FGMade50,PATMade,DefYardsTotal,DefPointsTotal,DefSk,DefTFL,DefINT,DefFF,DefFR,DefTD,DefSft,DefBlk,DefReturnTD,FantasyPointsDraftKings,FantasyPointsFanDuel
2024,7,20241021,ARI,vs LAC,WR,Marvin Harrison,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,0.00,0.00
2024,7,20241021,ARI,vs LAC,WR,Michael Wilson,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,3.90000,51.00000,0.32000,0.08000,0.04000,,0.02000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,11.16,9.17
2024,7,20241021,ARI,vs LAC,WR,Tejhaun Palmer,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.00,0.00
2024,7,20241021,ARI,vs LAC,WR,Xavier Weaver,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,1.30000,15.00000,0.08000,0.00000,0.01000,,0.00000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,3.27,2.61
2024,7,20241021,ARI,vs LAC,WR,Zach Pascal,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.30000,4.00000,0.02000,0.00000,0.00000,,0.00000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,0.82,0.67
2024,7,20241021,ARI,vs LAC,WR,Zay Jones,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,1.40000,18.00000,0.10000,0.00000,0.01000,,0.01000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,3.81,3.10
2024,7,20241020,ATL,vs SEA,D,Atlanta Defense,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,24.00000,2.20000,0.0,0.75000,1.30000,0.58000,0.20000,0.04000,0.00000,0.00000,6.14,6.14
2024,7,20241020,ATL,vs SEA,QB,Kirk Cousins,33.50000,22.50000,255.00000,1.86000,0.77000,0.28000,0.50000,0.00000,0.02000,0.00000,,0.00000,0.00000,0.00000,0.00000,0.19000,,0.09000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,17.82,17.63
2024,7,20241020,ATL,vs SEA,QB,Michael Penix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,0.00,0.00
2024,7,20241020,ATL,vs SEA,QB,Nathan Peterman,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.00,0.00
2024,7,20241020,ATL,vs SEA,RB,Avery Williams,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,0.00,0.00
