Year,Week,DateId,Team,Opp,Position,Player,PassAtt,PassCom,PassYds,PassTD,PassINT,Pass300,RushAtt,RushYds,RushTD,Rush100,RecTarg,RecCatches,RecYds,RecTD,Rec100,FumL,OffFumTD,TwoPT,RetYds,RetTD,FGMade0_19,FGMade20_29,FGMade30_39,FGMade40_49,FGMade50,PATMade,DefYardsTotal,DefPointsTotal,DefSk,DefTFL,DefINT,DefFF,DefFR,DefTD,DefSft,DefBlk,DefReturnTD,FantasyPointsDraftKings,FantasyPointsFanDuel
2024,10,20241110,ARI,vs NYJ,WR,Greg Dortch,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20000,1.00000,0.01000,0.00000,,1.90000,19.00000,0.12000,0.00000,0.02000,,0.01000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,4.68,3.71
2024,10,20241110,ARI,vs NYJ,WR,Marvin Harrison,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,3.70000,53.00000,0.38000,0.10000,0.04000,,0.02000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,11.58,9.69
2024,10,20241110,ARI,vs NYJ,WR,Michael Wilson,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,2.60000,34.00000,0.24000,0.01000,0.02000,,0.01000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,7.47,6.15
2024,10,20241110,ARI,vs NYJ,WR,Tejhaun Palmer,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.00,0.00
2024,10,20241110,ARI,vs NYJ,WR,Xavier Weaver,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,0.00,0.00
2024,10,20241110,ARI,vs NYJ,WR,Zach Pascal,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.10000,1.00000,0.01000,0.00000,0.00000,,0.00000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,0.26,0.21
2024,10,20241110,ARI,vs NYJ,WR,Zay Jones,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.60000,8.00000,0.05000,0.00000,0.01000,,0.00000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,1.69,1.38
2024,10,20241110,ATL,@ NO,D,Atlanta Defense,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,21.80000,2.20000,0.0,0.65000,1.30000,0.59000,0.20000,0.04000,0.00000,0.00000,5.96,5.96
2024,10,20241110,ATL,@ NO,K,Younghoe Koo,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,0.0,0.00000,0.02000,0.52800,0.53000,0.49000,0.19000,2.40000,,,,0.0,,,,,,,,8.54,8.54
2024,10,20241110,ATL,@ NO,QB,Kirk Cousins,33.50000,23.00000,250.00000,1.82000,0.67000,0.26000,2.20000,0.00000,0.07000,0.00000,,0.00000,0.00000,0.00000,0.00000,0.20000,,0.09000,0.0,0.00000,,,,,,,,,,0.0,,,,,,,,17.79,17.59
